id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
59.0,spoucik,wybory wygral karol nawrocki i to on bedzie przez najblizsze 5 lat prezydentem. przegrywac trzeba umiec,0,0,0,0,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,wybory wygral karol nawrocki i to on bedzie przez najblizsze 5 lat prezydentem. przegrywac trzeba umiec,wybory wygral karol nawrocki i to on bedzie przez najblizsze 5 lat prezydentem. przegrywac trzeba umiec,,,,0,0,0,103,16,0.0,niski,49,0.977482412061902
12.0,krzkownacki,To będzie pierwszy test dla prezydenta elekta.,0,0,0,0,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,To będzie pierwszy test dla prezydenta elekta.,To będzie pierwszy test dla prezydenta elekta.,,,,0,0,0,46,7,0.0,niski,49,0.6231801902135934
350.0,mdmr91811554,"Das ist genau der Grund warum Trump bei seiner ersten Amtszeit gewählt wurde. Er hat ein dickes Fell und kümmert sich nicht um Shitstorm. Trump, Orban, Melonie, Le Pen, Nawrocki und die AFD. Alles Folgen vom Wokismus.",0,0,0,0,24-06-25,2025-06-24,2025.0,6.0,24.0,0.0,"Das ist genau der Grund warum Trump bei seiner ersten Amtszeit gewählt wurde. Er hat ein dickes Fell und kümmert sich nicht um Shitstorm. Trump, Orban, Melonie, Le Pen, Nawrocki und die AFD. Alles Folgen vom Wokismus.","Das ist genau der Grund warum Trump bei seiner ersten Amtszeit gewählt wurde. Er hat ein dickes Fell und kümmert sich nicht um Shitstorm. Trump, Orban, Melonie, Le Pen, Nawrocki und die AFD. Alles Folgen vom Wokismus.",,,,0,0,0,217,37,0.0,niski,49,0.6612370639295169
32.0,batnamedia,"Czyli nie może waszym zdaniem orzec nieważności. Tylko i wyłącznie. Ergo wybory są ważne, Nawrocki Prezydentem. 🤷 Sami się zakiwaliscie 🤦🤦🤦🤦",0,2,0,2,26-06-25,2025-06-26,2025.0,6.0,26.0,0.0,"Czyli nie może waszym zdaniem orzec nieważności. Tylko i wyłącznie. Ergo wybory są ważne, Nawrocki Prezydentem. 🤷 Sami się zakiwaliscie 🤦🤦🤦🤦","Czyli nie może waszym zdaniem orzec nieważności. Tylko i wyłącznie. Ergo wybory są ważne, Nawrocki Prezydentem. 🤷 Sami się zakiwaliscie 🤦🤦🤦🤦",,,,0,0,0,140,21,2.0,średni,49,0.8770008109422297
7.0,drrush193876,Co byście zrobili jakby po kolejnych wyborach wygrał znowu nawrocki?,0,0,0,0,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,Co byście zrobili jakby po kolejnych wyborach wygrał znowu nawrocki?,Co byście zrobili jakby po kolejnych wyborach wygrał znowu nawrocki?,,,,0,0,0,68,10,0.0,niski,49,0.7273227309940434
5.0,n7polska,"Ty przybyłas z kosmosu,my już mamy prezydenta wybranego w wolnych wyborach przez większość Polaków od paru miesięcy.Brawo prezydencie Nawrocki",0,0,0,0,25-09-25,2025-09-25,2025.0,9.0,25.0,0.0,"Ty przybyłas z kosmosu,my już mamy prezydenta wybranego w wolnych wyborach przez większość Polaków od paru miesięcy.Brawo prezydencie Nawrocki","Ty przybyłas z kosmosu,my już mamy prezydenta wybranego w wolnych wyborach przez większość Polaków od paru miesięcy.Brawo prezydencie Nawrocki",,,,0,0,0,142,19,0.0,niski,49,0.6231801902135934
958.0,depresjazniall,"skąd się nawrocki wziął w ogóle, nigdy w życiu o nim nie słyszałam, nie wiem kto to jest i co takiego zrobił dla nas, że ludzie na niego głosująxd on się zespałnowal w randomowy dzień i stwierdził że chce zostać prezydentem chyba",7,36,16,59,"Jun 2, 2025 · 5:54 AM UTC",,,,,,"skąd się nawrocki wziął w ogóle, nigdy w życiu o nim nie słyszałam, nie wiem kto to jest i co takiego zrobił dla nas, że ludzie na niego głosująxd on się zespałnowal w randomowy dzień i stwierdził że chce zostać prezydentem chyba","skąd się nawrocki wziął w ogóle, nigdy w życiu o nim nie słyszałam, nie wiem kto to jest i co takiego zrobił dla nas, że ludzie na niego głosująxd on się zespałnowal w randomowy dzień i stwierdził że chce zostać prezydentem chyba",,,,0,0,0,229,42,2.25,wysoki,49,0.7794361396713538
521.0,martyna92541906,"Zastanawiam się dlaczego po przegranej tęczowego wszyscy jego wyborcy wypisują jakieś głupoty, felietony, wywody, mądre zdania, próbują mądrze obrazić naród. Gdyby przegrał Nawrocki jego wyborcy by napisali że jesteście poprostu debilami.",0,0,0,0,"Jun 3, 2025 · 7:05 AM UTC",,,,,,"Zastanawiam się dlaczego po przegranej tęczowego wszyscy jego wyborcy wypisują jakieś głupoty, felietony, wywody, mądre zdania, próbują mądrze obrazić naród. Gdyby przegrał Nawrocki jego wyborcy by napisali że jesteście poprostu debilami.","Zastanawiam się dlaczego po przegranej tęczowego wszyscy jego wyborcy wypisują jakieś głupoty, felietony, wywody, mądre zdania, próbują mądrze obrazić naród. Gdyby przegrał Nawrocki jego wyborcy by napisali że jesteście poprostu debilami.",,,,0,0,0,238,31,0.0,niski,49,0.7210556293798798
831.0,thepolandnews_,Czy jesteś zadowolony/a z wyniku wyborów prezydenckich?,42,104,246,392,"Jun 2, 2025 · 10:26 AM UTC",,,,,,Czy jesteś zadowolony/a z wyniku wyborów prezydenckich?,Czy jesteś zadowolony/a z wyniku wyborów prezydenckich?,,,,0,0,0,55,7,0.42,wysoki,49,0.6144801739846075
832.0,b14ckstarr,literalnie pierwsze o czym zączał mówić to wybory i jak dobrze ze nawrocki wygrał XDDDDDD,0,0,0,0,"Jun 3, 2025 · 3:06 PM UTC",,,,,,literalnie pierwsze o czym zączał mówić to wybory i jak dobrze ze nawrocki wygrał XDDDDDD,literalnie pierwsze o czym zączał mówić to wybory i jak dobrze ze nawrocki wygrał XDDDDDD,,,,0,0,0,89,15,0.0,niski,49,0.8522135357915341
