id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
407.0,marioladom42499,"Wybory wygrał K. Nawrocki czy im się to podoba, czy nie. Są głupcami myślac, że damy się wcisnąć pod niemiecki but🤦‍♀️",0,2,1,3,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Wybory wygrał K. Nawrocki czy im się to podoba, czy nie. Są głupcami myślac, że damy się wcisnąć pod niemiecki but🤦‍♀️","Wybory wygrał K. Nawrocki czy im się to podoba, czy nie. Są głupcami myślac, że damy się wcisnąć pod niemiecki but🤦‍♀️",,,,0,0,0,118,21,2.0,średni,23,1.0
891.0,tamija64,Silniczku partia niemiecka przegrała wybory.,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Silniczku partia niemiecka przegrała wybory.,Silniczku partia niemiecka przegrała wybory.,,,,0,0,0,44,5,0.0,niski,23,1.0
16.0,macilias,"Hättet ihr gerne, dass ein fremdes Land so auf euch Einfluss nimmt und diese Agenten, dann vor Deutscher Gerichtsbarkeit schützt? BILD ist BLÖD, sehr BLÖD sogar 👇 Nasz News: Hetze gegen Nawrocki und schockierende Hintergründe! Wie Deutschland Friede Springer, die Besitzerin von Onet, Newsweek und Fakt, vor der polnischen Staatsanwaltschaft schützte – wie eine Agentin! Das deutsche Onet hat eine Hetzkampagne gegen den designierten Präsidenten Nawrocki gestartet, und die Tusk-nahe Staatsanwaltschaft leitet nun eine Untersuchung wegen einer kleinen Wohnung ein. Der perfekte Moment, um offenzulegen, wie die deutschen Medien in Polen mit Tusk ein politisches Spiel treiben – und wer wirklich hinter ihnen steht. Nawrocki hat die Wahl gegen die Interessen Berlins gewonnen, also muss er jetzt fertiggemacht werden. Doch das ist nichts Neues – es ist ein bekanntes Muster! Ein Blick in die Vergangenheit – auf den Fall Friede Springer, Eigentümerin von Ringier Axel Springer, dem Konzern hinter Onet, Newsweek und Fakt. Die polnische Staatsanwaltschaft wollte sie unter der früheren Regierung verhören – in einer gründlichen Ermittlung. Und was geschah? Die Deutschen schirmten sie ab, als wäre sie ihre wertvollste Agentin! Alles begann mit den Bändern von 2014, auf denen Paweł Graś und der Milliardär Jan Kulczyk klagten, dass die Zeitung „Fakt“ zu sehr gegen Donald Tusk – den für Berlin bequemen Premier – schieße. Kulczyk versprach, mit Friede Springer zu sprechen, um die Kritik zu stoppen. Keine leeren Worte – ein Beweis für die geheimen Lenkmechanismen von Medien und Politik in Polen. Als die polnische Staatsanwaltschaft unter Justizminister Ziobro Springer vorlud, sagte die deutsche Regierung „nein“. Sie berief sich auf das „Interesse des deutschen Staates“ und blockierte die Zusammenarbeit. Zum ersten Mal in der Geschichte der deutsch-polnischen Rechtsbeziehungen geschah so etwas! Man schützte sie, als wäre sie ein Schlüsselspieler – so wie man seine beste Agentin schützt, sagt unser Informant. Was Onet, Newsweek oder Fakt in Polen tun, ist kein Journalismus – diese Medien, unter der Leitung von Ringier Axel Springer, fungieren als verdecktes Werkzeug der deutschen Regierung, um illegal Einfluss auf die politische Lage in Polen zu nehmen, einschließlich der Wahlergebnisse. Solche Aktivitäten stehen vermutlich unter strenger Aufsicht der deutschen Geheimdienste, die über den Konzern Ringier Axel Springer in Polen agieren. Anstatt zur Aufklärung der Angelegenheit beizutragen, bauten die Deutschen eine Schutzmauer um Friede Springer. Warum? Weil es ein System gibt, in dem Medien mit ausländischem Kapital den Interessen Berlins dienen sollen. Dasselbe Muster sehen wir heute in den Angriffen auf Nawrocki. Die deutschsprachigen Medien in Polen hetzen regelmäßig gegen Politiker, die für Polens Unabhängigkeit eintreten. Einer der am heftigsten angegriffenen war und ist Zbigniew Ziobro – weil er als Justizminister Friede Springer in dieser Sache vorladen wollte. Stellt euch die Frage: Warum fürchten sie ihn so sehr? Warum zerstören sie mit solcher Härte seine gesamte Familie? Heute, wo in Polen versucht wird, die Präsidentenwahl zu delegitimieren, liefert gerade der deutsche Onet das „Material“, mit dem das politische Verfahren gegen Nawrocki eingeleitet wird. @AlexKohler1 @BalticSnowTiger @mfphhh @spartyflyboy @DennisMZ92 @CF_NeverForget @knut_konig",0,2,2,4,17-06-25,2025-06-17,2025.0,6.0,17.0,0.0,"Hättet ihr gerne, dass ein fremdes Land so auf euch Einfluss nimmt und diese Agenten, dann vor Deutscher Gerichtsbarkeit schützt? BILD ist BLÖD, sehr BLÖD sogar 👇 Nasz News: Hetze gegen Nawrocki und schockierende Hintergründe! Wie Deutschland Friede Springer, die Besitzerin von Onet, Newsweek und Fakt, vor der polnischen Staatsanwaltschaft schützte – wie eine Agentin! Das deutsche Onet hat eine Hetzkampagne gegen den designierten Präsidenten Nawrocki gestartet, und die Tusk-nahe Staatsanwaltschaft leitet nun eine Untersuchung wegen einer kleinen Wohnung ein. Der perfekte Moment, um offenzulegen, wie die deutschen Medien in Polen mit Tusk ein politisches Spiel treiben – und wer wirklich hinter ihnen steht. Nawrocki hat die Wahl gegen die Interessen Berlins gewonnen, also muss er jetzt fertiggemacht werden. Doch das ist nichts Neues – es ist ein bekanntes Muster! Ein Blick in die Vergangenheit – auf den Fall Friede Springer, Eigentümerin von Ringier Axel Springer, dem Konzern hinter Onet, Newsweek und Fakt. Die polnische Staatsanwaltschaft wollte sie unter der früheren Regierung verhören – in einer gründlichen Ermittlung. Und was geschah? Die Deutschen schirmten sie ab, als wäre sie ihre wertvollste Agentin! Alles begann mit den Bändern von 2014, auf denen Paweł Graś und der Milliardär Jan Kulczyk klagten, dass die Zeitung „Fakt“ zu sehr gegen Donald Tusk – den für Berlin bequemen Premier – schieße. Kulczyk versprach, mit Friede Springer zu sprechen, um die Kritik zu stoppen. Keine leeren Worte – ein Beweis für die geheimen Lenkmechanismen von Medien und Politik in Polen. Als die polnische Staatsanwaltschaft unter Justizminister Ziobro Springer vorlud, sagte die deutsche Regierung „nein“. Sie berief sich auf das „Interesse des deutschen Staates“ und blockierte die Zusammenarbeit. Zum ersten Mal in der Geschichte der deutsch-polnischen Rechtsbeziehungen geschah so etwas! Man schützte sie, als wäre sie ein Schlüsselspieler – so wie man seine beste Agentin schützt, sagt unser Informant. Was Onet, Newsweek oder Fakt in Polen tun, ist kein Journalismus – diese Medien, unter der Leitung von Ringier Axel Springer, fungieren als verdecktes Werkzeug der deutschen Regierung, um illegal Einfluss auf die politische Lage in Polen zu nehmen, einschließlich der Wahlergebnisse. Solche Aktivitäten stehen vermutlich unter strenger Aufsicht der deutschen Geheimdienste, die über den Konzern Ringier Axel Springer in Polen agieren. Anstatt zur Aufklärung der Angelegenheit beizutragen, bauten die Deutschen eine Schutzmauer um Friede Springer. Warum? Weil es ein System gibt, in dem Medien mit ausländischem Kapital den Interessen Berlins dienen sollen. Dasselbe Muster sehen wir heute in den Angriffen auf Nawrocki. Die deutschsprachigen Medien in Polen hetzen regelmäßig gegen Politiker, die für Polens Unabhängigkeit eintreten. Einer der am heftigsten angegriffenen war und ist Zbigniew Ziobro – weil er als Justizminister Friede Springer in dieser Sache vorladen wollte. Stellt euch die Frage: Warum fürchten sie ihn so sehr? Warum zerstören sie mit solcher Härte seine gesamte Familie? Heute, wo in Polen versucht wird, die Präsidentenwahl zu delegitimieren, liefert gerade der deutsche Onet das „Material“, mit dem das politische Verfahren gegen Nawrocki eingeleitet wird.","Hättet ihr gerne, dass ein fremdes Land so auf euch Einfluss nimmt und diese Agenten, dann vor Deutscher Gerichtsbarkeit schützt? BILD ist BLÖD, sehr BLÖD sogar 👇 Nasz News: Hetze gegen Nawrocki und schockierende Hintergründe! Wie Deutschland Friede Springer, die Besitzerin von Onet, Newsweek und Fakt, vor der polnischen Staatsanwaltschaft schützte – wie eine Agentin! Das deutsche Onet hat eine Hetzkampagne gegen den designierten Präsidenten Nawrocki gestartet, und die Tusk-nahe Staatsanwaltschaft leitet nun eine Untersuchung wegen einer kleinen Wohnung ein. Der perfekte Moment, um offenzulegen, wie die deutschen Medien in Polen mit Tusk ein politisches Spiel treiben – und wer wirklich hinter ihnen steht. Nawrocki hat die Wahl gegen die Interessen Berlins gewonnen, also muss er jetzt fertiggemacht werden. Doch das ist nichts Neues – es ist ein bekanntes Muster! Ein Blick in die Vergangenheit – auf den Fall Friede Springer, Eigentümerin von Ringier Axel Springer, dem Konzern hinter Onet, Newsweek und Fakt. Die polnische Staatsanwaltschaft wollte sie unter der früheren Regierung verhören – in einer gründlichen Ermittlung. Und was geschah? Die Deutschen schirmten sie ab, als wäre sie ihre wertvollste Agentin! Alles begann mit den Bändern von 2014, auf denen Paweł Graś und der Milliardär Jan Kulczyk klagten, dass die Zeitung „Fakt“ zu sehr gegen Donald Tusk – den für Berlin bequemen Premier – schieße. Kulczyk versprach, mit Friede Springer zu sprechen, um die Kritik zu stoppen. Keine leeren Worte – ein Beweis für die geheimen Lenkmechanismen von Medien und Politik in Polen. Als die polnische Staatsanwaltschaft unter Justizminister Ziobro Springer vorlud, sagte die deutsche Regierung „nein“. Sie berief sich auf das „Interesse des deutschen Staates“ und blockierte die Zusammenarbeit. Zum ersten Mal in der Geschichte der deutsch-polnischen Rechtsbeziehungen geschah so etwas! Man schützte sie, als wäre sie ein Schlüsselspieler – so wie man seine beste Agentin schützt, sagt unser Informant. Was Onet, Newsweek oder Fakt in Polen tun, ist kein Journalismus – diese Medien, unter der Leitung von Ringier Axel Springer, fungieren als verdecktes Werkzeug der deutschen Regierung, um illegal Einfluss auf die politische Lage in Polen zu nehmen, einschließlich der Wahlergebnisse. Solche Aktivitäten stehen vermutlich unter strenger Aufsicht der deutschen Geheimdienste, die über den Konzern Ringier Axel Springer in Polen agieren. Anstatt zur Aufklärung der Angelegenheit beizutragen, bauten die Deutschen eine Schutzmauer um Friede Springer. Warum? Weil es ein System gibt, in dem Medien mit ausländischem Kapital den Interessen Berlins dienen sollen. Dasselbe Muster sehen wir heute in den Angriffen auf Nawrocki. Die deutschsprachigen Medien in Polen hetzen regelmäßig gegen Politiker, die für Polens Unabhängigkeit eintreten. Einer der am heftigsten angegriffenen war und ist Zbigniew Ziobro – weil er als Justizminister Friede Springer in dieser Sache vorladen wollte. Stellt euch die Frage: Warum fürchten sie ihn so sehr? Warum zerstören sie mit solcher Härte seine gesamte Familie? Heute, wo in Polen versucht wird, die Präsidentenwahl zu delegitimieren, liefert gerade der deutsche Onet das „Material“, mit dem das politische Verfahren gegen Nawrocki eingeleitet wird.",@AlexKohler1|@BalticSnowTiger|@mfphhh|@spartyflyboy|@DennisMZ92|@CF_NeverForget|@knut_konig,,,7,0,0,3298,486,1.0,średni,23,0.6268341742986066
14.0,lukasz_siwy,"To sie zdecydujcie tumany, albo liczenie na nowo albo wybory?Bo jak po ponownym liczeniu głosów znou wygra Nawrocki rzn że nadal jest chujnia wiec robimy wybory. Nie będzie nam niemiecka łajza mówić kto wygra wybory!",0,0,0,0,23-06-25,2025-06-23,2025.0,6.0,23.0,0.0,"To sie zdecydujcie tumany, albo liczenie na nowo albo wybory?Bo jak po ponownym liczeniu głosów znou wygra Nawrocki rzn że nadal jest chujnia wiec robimy wybory. Nie będzie nam niemiecka łajza mówić kto wygra wybory!","To sie zdecydujcie tumany, albo liczenie na nowo albo wybory?Bo jak po ponownym liczeniu głosów znou wygra Nawrocki rzn że nadal jest chujnia wiec robimy wybory. Nie będzie nam niemiecka łajza mówić kto wygra wybory!",,,,0,0,0,216,35,0.0,niski,23,1.0
2.0,awszczupak8320,"Niemiecki rząd Tuska w Polsce jest niezadowolony, bo prezydent Nawrocki zepsuł swoim vetem intratne niemieckie interesy. Dlatego starają się przekazać Polakom, że jeśli nie będą realizowane niemieckie interesy to nie będzie taniego prądu. Ferszteje?",0,0,0,0,21-08-25,2025-08-21,2025.0,8.0,21.0,0.0,"Niemiecki rząd Tuska w Polsce jest niezadowolony, bo prezydent Nawrocki zepsuł swoim vetem intratne niemieckie interesy. Dlatego starają się przekazać Polakom, że jeśli nie będą realizowane niemieckie interesy to nie będzie taniego prądu. Ferszteje?","Niemiecki rząd Tuska w Polsce jest niezadowolony, bo prezydent Nawrocki zepsuł swoim vetem intratne niemieckie interesy. Dlatego starają się przekazać Polakom, że jeśli nie będą realizowane niemieckie interesy to nie będzie taniego prądu. Ferszteje?",,,,0,0,0,249,34,0.0,niski,23,0.6268341742986066
37.0,batugwojciech,"Spotkanie Macron-Nawrocki. Francja przeciwna umowie UE-Mercosur. Dlaczego tak trudno zbudować mniejszość blokującą? Mniejsze kraje ulegają większym. Niemal wszyscy ulegają Niemcom. Test na stopniową budowę IV Rzeszy. Złamać, zastraszyć, podporządkować, karać. Widmo IV Rzeszy.",0,50,2,52,17-09-25,2025-09-17,2025.0,9.0,17.0,0.0,"Spotkanie Macron-Nawrocki. Francja przeciwna umowie UE-Mercosur. Dlaczego tak trudno zbudować mniejszość blokującą? Mniejsze kraje ulegają większym. Niemal wszyscy ulegają Niemcom. Test na stopniową budowę IV Rzeszy. Złamać, zastraszyć, podporządkować, karać. Widmo IV Rzeszy.","Spotkanie Macron-Nawrocki. Francja przeciwna umowie UE-Mercosur. Dlaczego tak trudno zbudować mniejszość blokującą? Mniejsze kraje ulegają większym. Niemal wszyscy ulegają Niemcom. Test na stopniową budowę IV Rzeszy. Złamać, zastraszyć, podporządkować, karać. Widmo IV Rzeszy.",,,,0,0,0,276,33,25.0,wysoki,23,0.6213802277032469
531.0,pikacz2000,"uh, nasi francuscy i niemieccy przyjaciele się o nas martwią. Na pewno tu nie chodzi o wplywy, interesy i kontrolę. Jak myślicie - skazali nas już na bycie strefą zgniotu? #wybory #Wybory2025 #nawrocki #trzaskowski #ue",0,0,0,0,"Jun 3, 2025 · 9:05 AM UTC",,,,,,"uh, nasi francuscy i niemieccy przyjaciele się o nas martwią. Na pewno tu nie chodzi o wplywy, interesy i kontrolę. Jak myślicie - skazali nas już na bycie strefą zgniotu? wybory Wybory2025 nawrocki trzaskowski ue","uh, nasi francuscy i niemieccy przyjaciele się o nas martwią. Na pewno tu nie chodzi o wplywy, interesy i kontrolę. Jak myślicie - skazali nas już na bycie strefą zgniotu?",,#wybory|#Wybory2025|#nawrocki|#trzaskowski|#ue,,0,5,0,213,35,0.0,niski,23,0.7169286622486061
159.0,gregzabrisky,"Dr. Karol Nawrocki Prezydentem Polski, więc Niemcy są wściekli, także na Tuska. A dlaczego są wściekli nietrudno zgadnąć, ich plany centralizacji i federalizacji państw UE pod wodzą Berlina będą musiały poczekać, może nawet dwie kadencje Nawrockiego. To jest istota tych wyborów",0,0,0,0,"Jun 3, 2025 · 3:01 PM UTC",,,,,,"Dr. Karol Nawrocki Prezydentem Polski, więc Niemcy są wściekli, także na Tuska. A dlaczego są wściekli nietrudno zgadnąć, ich plany centralizacji i federalizacji państw UE pod wodzą Berlina będą musiały poczekać, może nawet dwie kadencje Nawrockiego. To jest istota tych wyborów","Dr. Karol Nawrocki Prezydentem Polski, więc Niemcy są wściekli, także na Tuska. A dlaczego są wściekli nietrudno zgadnąć, ich plany centralizacji i federalizacji państw UE pod wodzą Berlina będą musiały poczekać, może nawet dwie kadencje Nawrockiego. To jest istota tych wyborów",,,,0,0,0,278,41,0.0,niski,23,0.6268341742986066
1.0,batugwojciech,"Może przypadkowa zbieżność, a może nie: Karol Nawrocki wygrał wybory, a Lidl wycofał się z budowy ogromnego składowiska odpadów w Gietrzwałdzie, miejscu objawień Matki Boskiej - w języku polskim, na ziemiech władanych przez Prusy/Niemcy. Ja nie wierzę w przypadki.",1,36,6,43,"Jun 3, 2025 · 5:27 PM UTC",,,,,,"Może przypadkowa zbieżność, a może nie: Karol Nawrocki wygrał wybory, a Lidl wycofał się z budowy ogromnego składowiska odpadów w Gietrzwałdzie, miejscu objawień Matki Boskiej - w języku polskim, na ziemiech władanych przez Prusy/Niemcy. Ja nie wierzę w przypadki.","Może przypadkowa zbieżność, a może nie: Karol Nawrocki wygrał wybory, a Lidl wycofał się z budowy ogromnego składowiska odpadów w Gietrzwałdzie, miejscu objawień Matki Boskiej - w języku polskim, na ziemiech władanych przez Prusy/Niemcy. Ja nie wierzę w przypadki.",,,,0,0,0,264,39,6.0,wysoki,23,0.7693349995559007
409.0,stachuba55,Jeszcze nie opadł kurz PO przegranych wyborach a już dała znać hamska Germańska beszczelność! Jeżeli Prezydent Nawrocki nie będzie uległy Niemcom to odbiorą nam dopłaty! Szwabskie podłe Qwy nie wypłaciły nam reparacji i jeszcze ośmielają się grozić! Ruda szmato won z Polski!,0,3,0,3,"Jun 4, 2025 · 4:52 PM UTC",,,,,,Jeszcze nie opadł kurz PO przegranych wyborach a już dała znać hamska Germańska beszczelność! Jeżeli Prezydent Nawrocki nie będzie uległy Niemcom to odbiorą nam dopłaty! Szwabskie podłe Qwy nie wypłaciły nam reparacji i jeszcze ośmielają się grozić! Ruda szmato won z Polski!,Jeszcze nie opadł kurz PO przegranych wyborach a już dała znać hamska Germańska beszczelność! Jeżeli Prezydent Nawrocki nie będzie uległy Niemcom to odbiorą nam dopłaty! Szwabskie podłe Qwy nie wypłaciły nam reparacji i jeszcze ośmielają się grozić! Ruda szmato won z Polski!,,,,0,0,0,275,42,3.0,średni,23,0.8690704938756567
