id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
30.0,milionnocy,"Widziałam w Kłodzku, Maciak w KAŻDEJ komisji mial człowieka do tego ludzie z komitetów których nikt nie zna. W uzupelnieniach oczywiscie Nawrocki. To ta ""koalicja komisyjna"" o której dziś głośno?",2,6,1,9,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Widziałam w Kłodzku, Maciak w KAŻDEJ komisji mial człowieka do tego ludzie z komitetów których nikt nie zna. W uzupelnieniach oczywiscie Nawrocki. To ta ""koalicja komisyjna"" o której dziś głośno?","Widziałam w Kłodzku, Maciak w KAŻDEJ komisji mial człowieka do tego ludzie z komitetów których nikt nie zna. W uzupelnieniach oczywiscie Nawrocki. To ta ""koalicja komisyjna"" o której dziś głośno?",,,,0,0,0,195,30,6.0,średni,50,0.9849669862853436
663.0,magda_pyra,Z tego artykułu. Ciekawe czy używający owej aplikacji członkowie komisji wiedzą ile można za to dostać 🤔,1,3,0,4,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Z tego artykułu. Ciekawe czy używający owej aplikacji członkowie komisji wiedzą ile można za to dostać 🤔,Z tego artykułu. Ciekawe czy używający owej aplikacji członkowie komisji wiedzą ile można za to dostać 🤔,,,,0,0,0,104,17,3.0,średni,50,0.9934988886627096
151.0,kniazjeremi,No bo nie zgłaszano uchybień. OBWE może zgłaszać lub alarmować na bierząco w trakcie wyborów bądź krótko po wyborach wszelkie nieprawidłowości. NIC NIE ZGŁOSILI. Wybory były rzetelne i wygrał Nawrocki. Błędy w komisjach wyglądały tak jak wyżej napisałem 13vs12,0,0,0,0,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,No bo nie zgłaszano uchybień. OBWE może zgłaszać lub alarmować na bierząco w trakcie wyborów bądź krótko po wyborach wszelkie nieprawidłowości. NIC NIE ZGŁOSILI. Wybory były rzetelne i wygrał Nawrocki. Błędy w komisjach wyglądały tak jak wyżej napisałem 13vs12,No bo nie zgłaszano uchybień. OBWE może zgłaszać lub alarmować na bierząco w trakcie wyborów bądź krótko po wyborach wszelkie nieprawidłowości. NIC NIE ZGŁOSILI. Wybory były rzetelne i wygrał Nawrocki. Błędy w komisjach wyglądały tak jak wyżej napisałem 13vs12,,,,0,0,0,260,39,0.0,niski,50,0.771163056846482
822.0,roberth49119086,Państwowa Komisja Wyborcza podała kto ponownie będzie liczył głosy. Jest jeden warunek: musi nauczyć się tabliczki mnożenia.,3,89,21,113,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Państwowa Komisja Wyborcza podała kto ponownie będzie liczył głosy. Jest jeden warunek: musi nauczyć się tabliczki mnożenia.,Państwowa Komisja Wyborcza podała kto ponownie będzie liczył głosy. Jest jeden warunek: musi nauczyć się tabliczki mnożenia.,,,,0,0,0,124,17,4.24,wysoki,50,0.8630912280363269
276.0,wojtwojt27,"Tak zmienili prawo pisowcy żeby mieć kontrolę w komisjach i móc fałszować bez oporów większych , dlatego te fikcyjne komitety ludzi którzy w ogóle nie powinni mieć prawa tworzyć żadnych komitetów szczególnie że w drugiej turze był tylko Trzaskowski i Nawrocki .",0,0,0,0,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Tak zmienili prawo pisowcy żeby mieć kontrolę w komisjach i móc fałszować bez oporów większych , dlatego te fikcyjne komitety ludzi którzy w ogóle nie powinni mieć prawa tworzyć żadnych komitetów szczególnie że w drugiej turze był tylko Trzaskowski i Nawrocki .","Tak zmienili prawo pisowcy żeby mieć kontrolę w komisjach i móc fałszować bez oporów większych , dlatego te fikcyjne komitety ludzi którzy w ogóle nie powinni mieć prawa tworzyć żadnych komitetów szczególnie że w drugiej turze był tylko Trzaskowski i Nawrocki .",,,,0,0,0,261,42,0.0,niski,50,0.6228712903234619
36.0,czarnekp,"Panie @donaldtusk, proszę wytłumaczyć społeczeństwu, jak to jest, że w każdej z ponad 30 tys. komisji było od 3 do 4, a niekiedy także więcej przedstawicieli pana koalicji 13 grudnia, a pan nadal nie zna prawdziwych wyników wyborów? Proszę nie udawać wariata. Nie musi pan. Link do wyników: wybory.gov.pl/prezydent2025/…",13,423,193,629,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Panie , proszę wytłumaczyć społeczeństwu, jak to jest, że w każdej z ponad 30 tys. komisji było od 3 do 4, a niekiedy także więcej przedstawicieli pana koalicji 13 grudnia, a pan nadal nie zna prawdziwych wyników wyborów? Proszę nie udawać wariata. Nie musi pan. Link do wyników: wybory.","Panie , proszę wytłumaczyć społeczeństwu, jak to jest, że w każdej z ponad 30 tys. komisji było od 3 do 4, a niekiedy także więcej przedstawicieli pana koalicji 13 grudnia, a pan nadal nie zna prawdziwych wyników wyborów? Proszę nie udawać wariata. Nie musi pan. Link do wyników: wybory.",@donaldtusk,,gov.pl/prezydent2025/…,1,0,1,287,49,2.19,wysoki,50,0.6349172028421225
20.0,wincihool,"Zapytałem 3 ludków z komisji jak będzie prawidłowo x postawiony i na kartce bazgroły to 2/3 powiedziało, że głos nieważny. Debili rząd wrzucił do komisji, zawsze tak było. Przeliczyć głosy powinny te same osoby i pewnie ponownie by takie błędy porobiły. Nawrocki wygrał i tyle.",0,0,0,0,22-06-25,2025-06-22,2025.0,6.0,22.0,0.0,"Zapytałem 3 ludków z komisji jak będzie prawidłowo x postawiony i na kartce bazgroły to 2/3 powiedziało, że głos nieważny. Debili rząd wrzucił do komisji, zawsze tak było. Przeliczyć głosy powinny te same osoby i pewnie ponownie by takie błędy porobiły. Nawrocki wygrał i tyle.","Zapytałem 3 ludków z komisji jak będzie prawidłowo x postawiony i na kartce bazgroły to 2/3 powiedziało, że głos nieważny. Debili rząd wrzucił do komisji, zawsze tak było. Przeliczyć głosy powinny te same osoby i pewnie ponownie by takie błędy porobiły. Nawrocki wygrał i tyle.",,,,0,0,0,277,45,0.0,niski,50,1.0
24.0,bardon_the,"📌 **Reasumując: o co chodzi w aferze aplikacji?** 1. **Aplikacja powstała nie po to, by bronić uczciwości wyborów, ale by potwierdzić teorię spiskową**: o rzekomym masowym głosowaniu na podstawie „lewych” zaświadczeń. 2. **Założono, że Nawrocki przegra.** A dane zebrane przez aplikację miały wówczas posłużyć jako „dowód” na systemowe fałszerstwo — spin do podważania wyniku i legitymacji Trzaskowskiego. 3. **Nikt nie zakładał porażki Trzaskowskiego.** Tę ewentualność traktowano jak „błąd systemowy”, który **chroni przed sprawą**, bo: – Sąd Najwyższy, zdominowany przez „swoich”, – nie ruszy tematu, jeśli ich kandydat wygra. 4. **Problem? Nawrocki wygrał.** A aplikacja została. Z PESEL‑ami. Z backupem. Z logami. I... z opiniami ABW, UODO i prokuratury. 5. **Koło się zamyka.** Sąd Najwyższy nie może tego już przemilczeć. Nawet jeśli jest nieuznawany, nawet jeśli jest „ich” — **otrzymał oficjalne raporty** o złamaniu prawa i naruszeniu konstytucyjnej zasady tajności wyborów. --- ### 🔥 Wniosek: Granat, który miał wybuchnąć pod Trzaskowskim, **eksplodował im w rękach.** Nie chodzi o przekręty przy liczeniu. Nie chodzi o Giertycha. Nie chodzi o teorię o „turystyce wyborczej”. Chodzi o **realne naruszenie prawa przez tych, którzy mieli stać na jego straży.** Za @dulassos",0,17,0,17,29-06-25,2025-06-29,2025.0,6.0,29.0,0.0,"📌 **Reasumując: o co chodzi w aferze aplikacji?** 1. **Aplikacja powstała nie po to, by bronić uczciwości wyborów, ale by potwierdzić teorię spiskową**: o rzekomym masowym głosowaniu na podstawie „lewych” zaświadczeń. 2. **Założono, że Nawrocki przegra.** A dane zebrane przez aplikację miały wówczas posłużyć jako „dowód” na systemowe fałszerstwo — spin do podważania wyniku i legitymacji Trzaskowskiego. 3. **Nikt nie zakładał porażki Trzaskowskiego.** Tę ewentualność traktowano jak „błąd systemowy”, który **chroni przed sprawą**, bo: – Sąd Najwyższy, zdominowany przez „swoich”, – nie ruszy tematu, jeśli ich kandydat wygra. 4. **Problem? Nawrocki wygrał.** A aplikacja została. Z PESEL‑ami. Z backupem. Z logami. I... z opiniami ABW, UODO i prokuratury. 5. **Koło się zamyka.** Sąd Najwyższy nie może tego już przemilczeć. Nawet jeśli jest nieuznawany, nawet jeśli jest „ich” — **otrzymał oficjalne raporty** o złamaniu prawa i naruszeniu konstytucyjnej zasady tajności wyborów. --- ### 🔥 Wniosek: Granat, który miał wybuchnąć pod Trzaskowskim, **eksplodował im w rękach.** Nie chodzi o przekręty przy liczeniu. Nie chodzi o Giertycha. Nie chodzi o teorię o „turystyce wyborczej”. Chodzi o **realne naruszenie prawa przez tych, którzy mieli stać na jego straży.** Za","📌 **Reasumując: o co chodzi w aferze aplikacji?** 1. **Aplikacja powstała nie po to, by bronić uczciwości wyborów, ale by potwierdzić teorię spiskową**: o rzekomym masowym głosowaniu na podstawie „lewych” zaświadczeń. 2. **Założono, że Nawrocki przegra.** A dane zebrane przez aplikację miały wówczas posłużyć jako „dowód” na systemowe fałszerstwo — spin do podważania wyniku i legitymacji Trzaskowskiego. 3. **Nikt nie zakładał porażki Trzaskowskiego.** Tę ewentualność traktowano jak „błąd systemowy”, który **chroni przed sprawą**, bo: – Sąd Najwyższy, zdominowany przez „swoich”, – nie ruszy tematu, jeśli ich kandydat wygra. 4. **Problem? Nawrocki wygrał.** A aplikacja została. Z PESEL‑ami. Z backupem. Z logami. I... z opiniami ABW, UODO i prokuratury. 5. **Koło się zamyka.** Sąd Najwyższy nie może tego już przemilczeć. Nawet jeśli jest nieuznawany, nawet jeśli jest „ich” — **otrzymał oficjalne raporty** o złamaniu prawa i naruszeniu konstytucyjnej zasady tajności wyborów. --- ### 🔥 Wniosek: Granat, który miał wybuchnąć pod Trzaskowskim, **eksplodował im w rękach.** Nie chodzi o przekręty przy liczeniu. Nie chodzi o Giertycha. Nie chodzi o teorię o „turystyce wyborczej”. Chodzi o **realne naruszenie prawa przez tych, którzy mieli stać na jego straży.** Za",@dulassos,,,1,0,0,1272,185,17.0,średni,50,0.6103252170654572
19.0,dariusz_lasocki,"Przypomnę, że jako #MążZaufanie w PKW (w II turze 1 czerwca) informowałem szeroko, każdego członka Obwodowej Komisji Wyborczej (tak ze strony @NawrockiKn jak i @trzaskowski_) aby działał jak poniżej? Wiedza była!",0,15,1,16,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Przypomnę, że jako MążZaufanie w PKW (w II turze 1 czerwca) informowałem szeroko, każdego członka Obwodowej Komisji Wyborczej (tak ze strony jak i ) aby działał jak poniżej? Wiedza była!","Przypomnę, że jako w PKW (w II turze 1 czerwca) informowałem szeroko, każdego członka Obwodowej Komisji Wyborczej (tak ze strony jak i ) aby działał jak poniżej? Wiedza była!",@NawrockiKn|@trzaskowski_,#MążZaufanie,,2,1,0,186,30,15.0,wysoki,50,1.0
378.0,gregor_konop,"Choćby jednej osobie uniemożliwiono zagłosować, bo jakiś debil z PiS w komisji skorzystał z nieautoryzowanej aplikacji, powinno spowodować powtórzenie głosowania. Będą tacy, dla których to śmieszne. Ale postawcie się na miejscu tej osoby, która właśnie głosu nie mogła oddać.",0,3,4,7,08-06-25,2025-06-08,2025.0,6.0,8.0,0.0,"Choćby jednej osobie uniemożliwiono zagłosować, bo jakiś debil z PiS w komisji skorzystał z nieautoryzowanej aplikacji, powinno spowodować powtórzenie głosowania. Będą tacy, dla których to śmieszne. Ale postawcie się na miejscu tej osoby, która właśnie głosu nie mogła oddać.","Choćby jednej osobie uniemożliwiono zagłosować, bo jakiś debil z PiS w komisji skorzystał z nieautoryzowanej aplikacji, powinno spowodować powtórzenie głosowania. Będą tacy, dla których to śmieszne. Ale postawcie się na miejscu tej osoby, która właśnie głosu nie mogła oddać.",,,,0,0,0,275,39,0.75,wysoki,50,0.6436562927476123
