id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
82.0,sylwiastempniak,Rekonstrukcje rządu na przełomie lipca/sierpnia. Czy nie można pokazać że należy turbo przyspieszyć Panie premierze @donaldtusk ? Ćwiczycie naszą cierpliwość...,0,5,1,6,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,Rekonstrukcje rządu na przełomie lipca/sierpnia. Czy nie można pokazać że należy turbo przyspieszyć Panie premierze ? Ćwiczycie naszą cierpliwość...,Rekonstrukcje rządu na przełomie lipca/sierpnia. Czy nie można pokazać że należy turbo przyspieszyć Panie premierze ? Ćwiczycie naszą cierpliwość...,@donaldtusk,,,1,0,0,148,19,5.0,średni,30,1.0
1297.0,tom10pl,"Kiedy do dymisji odda sie minister odpowiedzialny za wybory ? Czy wszczeto juz postepowanie wyjasniajace dziwne ,,pomylki,, po tym jak Nawrocki zyskał przewage? Czy chodzi o to ze na jaw wyjda przekrety majace doprowadzic do ponownych wyborow jak trzaskowski przegra ?",0,0,0,0,15-06-25,2025-06-15,2025.0,6.0,15.0,0.0,"Kiedy do dymisji odda sie minister odpowiedzialny za wybory ? Czy wszczeto juz postepowanie wyjasniajace dziwne ,,pomylki,, po tym jak Nawrocki zyskał przewage? Czy chodzi o to ze na jaw wyjda przekrety majace doprowadzic do ponownych wyborow jak trzaskowski przegra ?","Kiedy do dymisji odda sie minister odpowiedzialny za wybory ? Czy wszczeto juz postepowanie wyjasniajace dziwne ,,pomylki,, po tym jak Nawrocki zyskał przewage? Czy chodzi o to ze na jaw wyjda przekrety majace doprowadzic do ponownych wyborow jak trzaskowski przegra ?",,,,0,0,0,268,41,0.0,niski,30,0.5846186781144378
344.0,carmenrota1975,"Mi jest wstyd że takie coś jest premierem mojej Ojczyzny,że taki zdrajca konfident kłamca ma czelność pouczać prezydenta RP,że kładzie się jak ścierka na podłodze byle tylko Nawrocki nie został prezydentem..hańba i wstyd!to napewno była Konstytucja w łapie?!",0,2,0,2,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,"Mi jest wstyd że takie coś jest premierem mojej Ojczyzny,że taki zdrajca konfident kłamca ma czelność pouczać prezydenta RP,że kładzie się jak ścierka na podłodze byle tylko Nawrocki nie został prezydentem..hańba i wstyd!to napewno była Konstytucja w łapie?!","Mi jest wstyd że takie coś jest premierem mojej Ojczyzny,że taki zdrajca konfident kłamca ma czelność pouczać prezydenta RP,że kładzie się jak ścierka na podłodze byle tylko Nawrocki nie został prezydentem..hańba i wstyd!to napewno była Konstytucja w łapie?!",,,,0,0,0,258,38,2.0,średni,30,0.5696542025891282
290.0,cdzwoni,Nowy rzecznik rządu. Obejrzyjcie koniecznie. Tego jeszcze nie było.,25,355,167,547,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,Nowy rzecznik rządu. Obejrzyjcie koniecznie. Tego jeszcze nie było.,Nowy rzecznik rządu. Obejrzyjcie koniecznie. Tego jeszcze nie było.,,,,0,0,0,67,9,2.13,wysoki,30,0.6910315733312654
41.0,morawieckim,"Panowie @KosiniakKamysz, @szymon_holownia i @wlodekczarzasty: premierem jest człowiek Silnych Razem. Czy warto się podpisywać pod jego szaleństwami?",0,87,43,130,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Panowie , i : premierem jest człowiek Silnych Razem. Czy warto się podpisywać pod jego szaleństwami?","Panowie , i : premierem jest człowiek Silnych Razem. Czy warto się podpisywać pod jego szaleństwami?",@KosiniakKamysz|@szymon_holownia|@wlodekczarzasty,,,3,0,0,100,16,2.02,wysoki,30,1.0
302.0,prof_mittelmerz,"Czy to prawda, że Premier RP dostał szajby? No to trzymajcie się, bo najlepsze dopiero przed nami... #wybory2025 #WyboryPrezydenckie2025",9,99,13,121,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Czy to prawda, że Premier RP dostał szajby? No to trzymajcie się, bo najlepsze dopiero przed nami... wybory2025 WyboryPrezydenckie2025","Czy to prawda, że Premier RP dostał szajby? No to trzymajcie się, bo najlepsze dopiero przed nami...",,#wybory2025|#WyboryPrezydenckie2025,,0,2,0,134,19,7.62,wysoki,30,0.4727351827933796
335.0,feusettek,"Premier przyznaje, że za jego rządów doszło do sfałszowania wyników wyborów? W normalnym kraju podałby się do dymisji. Ale tylko, gdyby miał honor...",2,104,7,113,21-06-25,2025-06-21,2025.0,6.0,21.0,0.0,"Premier przyznaje, że za jego rządów doszło do sfałszowania wyników wyborów? W normalnym kraju podałby się do dymisji. Ale tylko, gdyby miał honor...","Premier przyznaje, że za jego rządów doszło do sfałszowania wyników wyborów? W normalnym kraju podałby się do dymisji. Ale tylko, gdyby miał honor...",,,,0,0,0,149,23,14.86,wysoki,30,1.0
126.0,dorota_fortuna,"Cóż z tego jak premier uwaza,ze nawrocki wygral",0,0,0,0,30-06-25,2025-06-30,2025.0,6.0,30.0,0.0,"Cóż z tego jak premier uwaza,ze nawrocki wygral","Cóż z tego jak premier uwaza,ze nawrocki wygral",,,,0,0,0,47,8,0.0,niski,30,0.9613501492227916
6.0,cherrymaggie_,"Panie premierze. Trzeba pozbyć się zdrajcy,policzyć głosy w wyborach na prezydenta,policzyć szable i albo się uda zdobyć większość,albo rozpisać nowe wybory.Oczywiście jeśli okaże się po przeliczeniu,że wygrał Nawrocki.",0,15,0,15,07-07-25,2025-07-07,2025.0,7.0,7.0,0.0,"Panie premierze. Trzeba pozbyć się zdrajcy,policzyć głosy w wyborach na prezydenta,policzyć szable i albo się uda zdobyć większość,albo rozpisać nowe wybory.Oczywiście jeśli okaże się po przeliczeniu,że wygrał Nawrocki.","Panie premierze. Trzeba pozbyć się zdrajcy,policzyć głosy w wyborach na prezydenta,policzyć szable i albo się uda zdobyć większość,albo rozpisać nowe wybory.Oczywiście jeśli okaże się po przeliczeniu,że wygrał Nawrocki.",,,,0,0,0,219,28,15.0,średni,30,0.9592701967570784
34.0,pawep2908213730,"Oho, odważny Pan Minister, przynajmniej werbalnie. Tylko, kto pierwszy przestanie piastować swoją funkcję? Karol Nawrocki prezydenta czy Waldemar Żurek ministra? I kto pierwszy będzie bez immunitetu? To nie jest przypadkowe wejście na grabie, to jest władowanie się na całego.",0,6,0,6,31-07-25,2025-07-31,2025.0,7.0,31.0,0.0,"Oho, odważny Pan Minister, przynajmniej werbalnie. Tylko, kto pierwszy przestanie piastować swoją funkcję? Karol Nawrocki prezydenta czy Waldemar Żurek ministra? I kto pierwszy będzie bez immunitetu? To nie jest przypadkowe wejście na grabie, to jest władowanie się na całego.","Oho, odważny Pan Minister, przynajmniej werbalnie. Tylko, kto pierwszy przestanie piastować swoją funkcję? Karol Nawrocki prezydenta czy Waldemar Żurek ministra? I kto pierwszy będzie bez immunitetu? To nie jest przypadkowe wejście na grabie, to jest władowanie się na całego.",,,,0,0,0,276,39,6.0,średni,30,1.0
9.0,mdfreedomcaucus,"Governor Spend Moore fails to find $400+ Million savings according to Maryland-state audit! “We need a governor who is here focused on Maryland,” [Maryland Freedom Caucus Member] Delegate Nawrocki said. “Unfortunately, our governor has been running all around the country, running for president. Things like this continue to pop up. Now we’re talking about $410 million. That’s real money.” foxbaltimore.com/news/local/…",0,13,6,19,05-08-25,2025-08-05,2025.0,8.0,5.0,0.0,"Governor Spend Moore fails to find $400+ Million savings according to Maryland-state audit! “We need a governor who is here focused on Maryland,” [Maryland Freedom Caucus Member] Delegate Nawrocki said. “Unfortunately, our governor has been running all around the country, running for president. Things like this continue to pop up. Now we’re talking about $410 million. That’s real money.”","Governor Spend Moore fails to find $400+ Million savings according to Maryland-state audit! “We need a governor who is here focused on Maryland,” [Maryland Freedom Caucus Member] Delegate Nawrocki said. “Unfortunately, our governor has been running all around the country, running for president. Things like this continue to pop up. Now we’re talking about $410 million. That’s real money.”",,,foxbaltimore.com/news/local/…,0,0,1,390,59,2.17,średni,30,0.5963897080643871
222.0,meitzpl,"Panie Ministrze, widzę, że jest Pan bardzo odważny w internecie. Rano w telewizji grzecznie “Pan Prezydent”, a tu już “Pan Nawrocki”. Czy według Pana takie tanie chwyty pod rozgrzany elektorat przystoją wiceministrowi obrony narodowej w stosunku do Zwierzchnika Sił Zbrojnych?",0,20,3,23,13-08-25,2025-08-13,2025.0,8.0,13.0,0.0,"Panie Ministrze, widzę, że jest Pan bardzo odważny w internecie. Rano w telewizji grzecznie “Pan Prezydent”, a tu już “Pan Nawrocki”. Czy według Pana takie tanie chwyty pod rozgrzany elektorat przystoją wiceministrowi obrony narodowej w stosunku do Zwierzchnika Sił Zbrojnych?","Panie Ministrze, widzę, że jest Pan bardzo odważny w internecie. Rano w telewizji grzecznie “Pan Prezydent”, a tu już “Pan Nawrocki”. Czy według Pana takie tanie chwyty pod rozgrzany elektorat przystoją wiceministrowi obrony narodowej w stosunku do Zwierzchnika Sił Zbrojnych?",,,,0,0,0,276,40,6.67,średni,30,1.0
