id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
304.0,wojtek98037155,"Ale wiesz że Nawrocki wygrał, zorganizowane przez Tuska wybory. Nawet Rafał uznał porażkę, a te chuje próbują ludzia wcisnąć że sfałszowane. Nie kurwa, nie były sfałszowane, tylko odwracają kutasy ludzi uwagę od ważnych spraw.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Ale wiesz że Nawrocki wygrał, zorganizowane przez Tuska wybory. Nawet Rafał uznał porażkę, a te chuje próbują ludzia wcisnąć że sfałszowane. Nie kurwa, nie były sfałszowane, tylko odwracają kutasy ludzi uwagę od ważnych spraw.","Ale wiesz że Nawrocki wygrał, zorganizowane przez Tuska wybory. Nawet Rafał uznał porażkę, a te chuje próbują ludzia wcisnąć że sfałszowane. Nie kurwa, nie były sfałszowane, tylko odwracają kutasy ludzi uwagę od ważnych spraw.",,,,0,0,0,226,34,0.0,niski,6,0.4650139083172938
311.0,szybkiszyki,"No i co ? Ja na niego głosowałem, chociaż nie byłem zadowolony z tego wyboru ale wolałem jego niż Rafała, poplecznika Tuska. Te wybory wygrała niechęć do Donalda Tuska, a nie wygrał Nawrocki, a Rafał przegrał, ale Wy płaczki będziecie ciągle wymyślać jakieś wymówki … 🤦🏻‍♂️🤦🏻‍♂️",0,0,0,0,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,"No i co ? Ja na niego głosowałem, chociaż nie byłem zadowolony z tego wyboru ale wolałem jego niż Rafała, poplecznika Tuska. Te wybory wygrała niechęć do Donalda Tuska, a nie wygrał Nawrocki, a Rafał przegrał, ale Wy płaczki będziecie ciągle wymyślać jakieś wymówki … 🤦🏻‍♂️🤦🏻‍♂️","No i co ? Ja na niego głosowałem, chociaż nie byłem zadowolony z tego wyboru ale wolałem jego niż Rafała, poplecznika Tuska. Te wybory wygrała niechęć do Donalda Tuska, a nie wygrał Nawrocki, a Rafał przegrał, ale Wy płaczki będziecie ciągle wymyślać jakieś wymówki … 🤦🏻‍♂️🤦🏻‍♂️",,,,0,0,0,278,46,0.0,niski,6,1.0
7.0,estarorr,Prezydent Karol.Nawrocki się na to nie zgodzi co innego tęczowy Rafał,0,0,0,0,23-06-25,2025-06-23,2025.0,6.0,23.0,0.0,Prezydent Karol.Nawrocki się na to nie zgodzi co innego tęczowy Rafał,Prezydent Karol.Nawrocki się na to nie zgodzi co innego tęczowy Rafał,,,,0,0,0,69,11,0.0,niski,6,0.9888295256451364
200.0,con_ruck,"Bo byś się załamał jak bardzo platformersi sfałszowali wybory na korzyść Rafała. Nawet sam Zembaczyński stwierdził po exit-poll, że ich przewaga będzie rosnąć, czyli wiedział, że sfałszowali. Na szczęście wygrał Nawrocki, bo nieudało się to wystarczająco.",0,0,0,0,25-06-25,2025-06-25,2025.0,6.0,25.0,0.0,"Bo byś się załamał jak bardzo platformersi sfałszowali wybory na korzyść Rafała. Nawet sam Zembaczyński stwierdził po exit-poll, że ich przewaga będzie rosnąć, czyli wiedział, że sfałszowali. Na szczęście wygrał Nawrocki, bo nieudało się to wystarczająco.","Bo byś się załamał jak bardzo platformersi sfałszowali wybory na korzyść Rafała. Nawet sam Zembaczyński stwierdził po exit-poll, że ich przewaga będzie rosnąć, czyli wiedział, że sfałszowali. Na szczęście wygrał Nawrocki, bo nieudało się to wystarczająco.",,,,0,0,0,255,36,0.0,niski,6,0.522341189631072
117.0,ambasadaiiirp,"- Pamiętaj, Nawrocki - Ale Julia, jak przeliczymy to wyjdzie, że Trzaskowski - Mordo, to nie licz, bo Rafał cię z roboty wywali",1,31,4,36,27-06-25,2025-06-27,2025.0,6.0,27.0,0.0,"- Pamiętaj, Nawrocki - Ale Julia, jak przeliczymy to wyjdzie, że Trzaskowski - Mordo, to nie licz, bo Rafał cię z roboty wywali","- Pamiętaj, Nawrocki - Ale Julia, jak przeliczymy to wyjdzie, że Trzaskowski - Mordo, to nie licz, bo Rafał cię z roboty wywali",,,,0,0,0,127,23,7.75,wysoki,6,0.1959739523324631
477.0,tomasz51681503,"Pogodziłeś się z porażką Kamali, pogódź się z porażką Rafała. Nawrocki nie był dla mnie kandydatem pierwszego wyboru, ale przy Trzaskowskim to mega kandydat",0,0,0,0,01-07-25,2025-07-01,2025.0,7.0,1.0,0.0,"Pogodziłeś się z porażką Kamali, pogódź się z porażką Rafała. Nawrocki nie był dla mnie kandydatem pierwszego wyboru, ale przy Trzaskowskim to mega kandydat","Pogodziłeś się z porażką Kamali, pogódź się z porażką Rafała. Nawrocki nie był dla mnie kandydatem pierwszego wyboru, ale przy Trzaskowskim to mega kandydat",,,,0,0,0,156,24,0.0,niski,6,0.2885407981540385
23.0,gierbamariusz,"Przecież Nawrocki właśnie wystawił w ten sposób Rafała. Rafał musiał zrobić fikołka i w sumie nawet mu wyszło, tyle, że mało przekonująco.",0,0,0,0,02-07-25,2025-07-02,2025.0,7.0,2.0,0.0,"Przecież Nawrocki właśnie wystawił w ten sposób Rafała. Rafał musiał zrobić fikołka i w sumie nawet mu wyszło, tyle, że mało przekonująco.","Przecież Nawrocki właśnie wystawił w ten sposób Rafała. Rafał musiał zrobić fikołka i w sumie nawet mu wyszło, tyle, że mało przekonująco.",,,,0,0,0,138,22,0.0,niski,6,0.5279133020879425
186.0,maciek034255594,"I wie Pan co? Jesteście tak nieudolni w rozliczaniu PiSu, że nie wierzę, że gdyby Rafał wygrał to by coś zmieniło. Ludzie nie są głupi, Nawrocki nawet nie ma kogo uniewinniać, a te wasze komisje śledcze tylko się ośmieszyły. Sprawa z izbą SN i wyborami to był gwóźdź do trumny.",0,0,0,0,02-07-25,2025-07-02,2025.0,7.0,2.0,0.0,"I wie Pan co? Jesteście tak nieudolni w rozliczaniu PiSu, że nie wierzę, że gdyby Rafał wygrał to by coś zmieniło. Ludzie nie są głupi, Nawrocki nawet nie ma kogo uniewinniać, a te wasze komisje śledcze tylko się ośmieszyły. Sprawa z izbą SN i wyborami to był gwóźdź do trumny.","I wie Pan co? Jesteście tak nieudolni w rozliczaniu PiSu, że nie wierzę, że gdyby Rafał wygrał to by coś zmieniło. Ludzie nie są głupi, Nawrocki nawet nie ma kogo uniewinniać, a te wasze komisje śledcze tylko się ośmieszyły. Sprawa z izbą SN i wyborami to był gwóźdź do trumny.",,,,0,0,0,277,50,0.0,niski,6,0.2801360002801638
13.0,lukaszmocsmaku,"Rafau i o to chodzi widzisz,w końcu jest porządek w szaletach miejskich,promujesz różowe autobusy, jestem dumny z ciebie. Ta funkcja to szczyt Twoich możliwości a resztą kraju zaopiekuje się Pan Prezydent Nawrocki 😎",0,0,0,0,14-10-25,2025-10-14,2025.0,10.0,14.0,0.0,"Rafau i o to chodzi widzisz,w końcu jest porządek w szaletach miejskich,promujesz różowe autobusy, jestem dumny z ciebie. Ta funkcja to szczyt Twoich możliwości a resztą kraju zaopiekuje się Pan Prezydent Nawrocki 😎","Rafau i o to chodzi widzisz,w końcu jest porządek w szaletach miejskich,promujesz różowe autobusy, jestem dumny z ciebie. Ta funkcja to szczyt Twoich możliwości a resztą kraju zaopiekuje się Pan Prezydent Nawrocki 😎",,,,0,0,0,215,33,0.0,niski,6,0.8530562460612107
11.0,waldema43027933,"Rafal nie rob sie prorokiem fortepianu!Za duzo u ciebie pewnosci siebie,bo do Palacu Prezydenckiego tez juz szykowales garnitur,a tu ups,Nawrocki.Miales swoich faworytow,a tu znowu pudlo,Eric Lu wygral.Rafal wiecej pokory,a moze nastepnym razem obstaw,kto wygra w totka.",0,0,0,0,21-10-25,2025-10-21,2025.0,10.0,21.0,0.0,"Rafal nie rob sie prorokiem fortepianu!Za duzo u ciebie pewnosci siebie,bo do Palacu Prezydenckiego tez juz szykowales garnitur,a tu ups,Nawrocki.Miales swoich faworytow,a tu znowu pudlo,Eric Lu wygral.Rafal wiecej pokory,a moze nastepnym razem obstaw,kto wygra w totka.","Rafal nie rob sie prorokiem fortepianu!Za duzo u ciebie pewnosci siebie,bo do Palacu Prezydenckiego tez juz szykowales garnitur,a tu ups,Nawrocki.Miales swoich faworytow,a tu znowu pudlo,Eric Lu wygral.Rafal wiecej pokory,a moze nastepnym razem obstaw,kto wygra w totka.",,,,0,0,0,270,36,0.0,niski,6,0.9888295256451364
