id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
28.0,camill1197447,Nawrocki NIE MOŻE!!! zostać zaprzysiężony‼️ Skręcenie wyborów przez PiS to jawny atak na demokrację. Nasze prawa obywatelskie zostały zniszczone. Nie widzę przeciwwskazań aby w tym tygodniu wyjść na ulicę w ramach sprzeciwu‼️ Delegalizacja PiS ‼️obligo‼️,0,27,0,27,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Nawrocki NIE MOŻE!!! zostać zaprzysiężony‼️ Skręcenie wyborów przez PiS to jawny atak na demokrację. Nasze prawa obywatelskie zostały zniszczone. Nie widzę przeciwwskazań aby w tym tygodniu wyjść na ulicę w ramach sprzeciwu‼️ Delegalizacja PiS ‼️obligo‼️,Nawrocki NIE MOŻE!!! zostać zaprzysiężony‼️ Skręcenie wyborów przez PiS to jawny atak na demokrację. Nasze prawa obywatelskie zostały zniszczone. Nie widzę przeciwwskazań aby w tym tygodniu wyjść na ulicę w ramach sprzeciwu‼️ Delegalizacja PiS ‼️obligo‼️,,,,0,0,0,254,35,27.0,średni,11,0.4211746656139388
6.0,l0verdark,"Nie liczę na nic dobrego od żadnego polityka. Ale trzeba przyznać że gdyby Nawrocki odwrócił się teraz od PiS to by zatrzęsło całą partią. Dodatkowo PO też ledwo stoi, to by była idealna szansa na pozbycie się tych wszystkich starych dziadów których komuchy wrzuciły do POPiS",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Nie liczę na nic dobrego od żadnego polityka. Ale trzeba przyznać że gdyby Nawrocki odwrócił się teraz od PiS to by zatrzęsło całą partią. Dodatkowo PO też ledwo stoi, to by była idealna szansa na pozbycie się tych wszystkich starych dziadów których komuchy wrzuciły do POPiS","Nie liczę na nic dobrego od żadnego polityka. Ale trzeba przyznać że gdyby Nawrocki odwrócił się teraz od PiS to by zatrzęsło całą partią. Dodatkowo PO też ledwo stoi, to by była idealna szansa na pozbycie się tych wszystkich starych dziadów których komuchy wrzuciły do POPiS",,,,0,0,0,275,46,0.0,niski,11,0.3300682830893111
15.0,alicjadef,"Bardzo ciekawe, że PiS reaguje wręcz alergicznie na postulat o ponowne przeliczenie głosów 🤔 Dlatego nie można odpuścić tego tematu. #PrzeliczmyGłosy",4,173,28,205,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Bardzo ciekawe, że PiS reaguje wręcz alergicznie na postulat o ponowne przeliczenie głosów 🤔 Dlatego nie można odpuścić tego tematu. PrzeliczmyGłosy","Bardzo ciekawe, że PiS reaguje wręcz alergicznie na postulat o ponowne przeliczenie głosów 🤔 Dlatego nie można odpuścić tego tematu.",,#PrzeliczmyGłosy,,0,1,0,148,21,6.18,wysoki,11,0.9722158421981744
58.0,szykom89,"Skoro @NawrockiKn został prezydentem uczciwie, to dlaczego politycy @pisorgpl tak boją się ponownego i bardziej dokładnego przeliczenia wszystkich głosów? Czego obawia się prezes J. #Kaczyński i partia? Przecież uczciwi nie mają się czego bać, prawda? #Wybory #nawrocki #PiS",0,9,3,12,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Skoro został prezydentem uczciwie, to dlaczego politycy tak boją się ponownego i bardziej dokładnego przeliczenia wszystkich głosów? Czego obawia się prezes J. Kaczyński i partia? Przecież uczciwi nie mają się czego bać, prawda? Wybory nawrocki PiS","Skoro został prezydentem uczciwie, to dlaczego politycy tak boją się ponownego i bardziej dokładnego przeliczenia wszystkich głosów? Czego obawia się prezes J. i partia? Przecież uczciwi nie mają się czego bać, prawda?",@NawrockiKn|@pisorgpl,#Kaczyński|#Wybory|#nawrocki|#PiS,,2,4,0,248,36,3.0,średni,11,0.3320004693980786
3.0,salekk860,Dlaczego Nawrocki nie chce umocnić mandatu❓Dlaczego PiS nie chce paliwa na kolejne lata po ponownym liczeniu❓I najważniejsze - zabezpieczmy każde następne wybory - i tego cholernego X na karcie głosowania❗️,0,15,0,15,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Dlaczego Nawrocki nie chce umocnić mandatu❓Dlaczego PiS nie chce paliwa na kolejne lata po ponownym liczeniu❓I najważniejsze - zabezpieczmy każde następne wybory - i tego cholernego X na karcie głosowania❗️,Dlaczego Nawrocki nie chce umocnić mandatu❓Dlaczego PiS nie chce paliwa na kolejne lata po ponownym liczeniu❓I najważniejsze - zabezpieczmy każde następne wybory - i tego cholernego X na karcie głosowania❗️,,,,0,0,0,206,30,15.0,średni,11,0.4393980016078176
408.0,michalkraj78,"Nikt z PiSu nie kwestionuje prawa do protestów wyborczych, zapewne wpłyną one z dwóch stron barykady. Siejesz ferment, a protesty jak w każdych wyborach zostaną rozpatrzone i nie będą miały wpływu na wynik. Prezydentem Polski Karol Nawrocki 👌💪",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Nikt z PiSu nie kwestionuje prawa do protestów wyborczych, zapewne wpłyną one z dwóch stron barykady. Siejesz ferment, a protesty jak w każdych wyborach zostaną rozpatrzone i nie będą miały wpływu na wynik. Prezydentem Polski Karol Nawrocki 👌💪","Nikt z PiSu nie kwestionuje prawa do protestów wyborczych, zapewne wpłyną one z dwóch stron barykady. Siejesz ferment, a protesty jak w każdych wyborach zostaną rozpatrzone i nie będą miały wpływu na wynik. Prezydentem Polski Karol Nawrocki 👌💪",,,,0,0,0,243,38,0.0,niski,11,0.4570287466672556
36.0,gfkot,"PiS wzbudza podejrzenia swoimi profetycznymi zdolnościami: W 2019 roku w wyborach parlamentarnych 12 godzin przed ogłoszeniem ostatecznych wyników @AC_Sobol publikuje ostateczny podział mandatów. W 2020 Duda ogłasza zwycięstwo mając w exit poll zapas 0,8 p.p. W 2025 Nawrocki ogłasza zwycięstwo mając w exit poll stratę 0,6 p.p.",0,28,0,28,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"PiS wzbudza podejrzenia swoimi profetycznymi zdolnościami: W 2019 roku w wyborach parlamentarnych 12 godzin przed ogłoszeniem ostatecznych wyników publikuje ostateczny podział mandatów. W 2020 Duda ogłasza zwycięstwo mając w exit poll zapas 0,8 p.p. W 2025 Nawrocki ogłasza zwycięstwo mając w exit poll stratę 0,6 p.p.","PiS wzbudza podejrzenia swoimi profetycznymi zdolnościami: W 2019 roku w wyborach parlamentarnych 12 godzin przed ogłoszeniem ostatecznych wyników publikuje ostateczny podział mandatów. W 2020 Duda ogłasza zwycięstwo mając w exit poll zapas 0,8 p.p. W 2025 Nawrocki ogłasza zwycięstwo mając w exit poll stratę 0,6 p.p.",@AC_Sobol,,,1,0,0,318,46,28.0,średni,11,0.8369789700861728
499.0,89_kba,"Najpierw Nawrocki przyznaje sie do mieszkan. Pozniej Nawrocki przyznaje sie do ustawek. Teraz PiS sam przyznaje sie i publikuje filmy odnosnie „przekretow” w sztabach wyborczych. Przyznaja sie do aplikacji Mateckiego czy tam Ziobry. Lataja ich wypowiedzi, ze w koncu udalo sie swoimi obstawic komisje. a na koniec oskarżają o wszystko „lewakow”… Polska 🤡",0,5,1,6,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Najpierw Nawrocki przyznaje sie do mieszkan. Pozniej Nawrocki przyznaje sie do ustawek. Teraz PiS sam przyznaje sie i publikuje filmy odnosnie „przekretow” w sztabach wyborczych. Przyznaja sie do aplikacji Mateckiego czy tam Ziobry. Lataja ich wypowiedzi, ze w koncu udalo sie swoimi obstawic komisje. a na koniec oskarżają o wszystko „lewakow”… Polska 🤡","Najpierw Nawrocki przyznaje sie do mieszkan. Pozniej Nawrocki przyznaje sie do ustawek. Teraz PiS sam przyznaje sie i publikuje filmy odnosnie „przekretow” w sztabach wyborczych. Przyznaja sie do aplikacji Mateckiego czy tam Ziobry. Lataja ich wypowiedzi, ze w koncu udalo sie swoimi obstawic komisje. a na koniec oskarżają o wszystko „lewakow”… Polska 🤡",,,,0,0,0,354,53,5.0,średni,11,0.2693566886273238
77.0,karinak_28558,Niesamowity materiał. PiS i ich wyborcy to kalka Trumpa i Republikanów. To nas czeka jeśli prezydentem zostanie Nawrocki a PiS wróci do władzy. Przerażające. piped.video/sknz7XCYA0M?si=6KY7…,0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,Niesamowity materiał. PiS i ich wyborcy to kalka Trumpa i Republikanów. To nas czeka jeśli prezydentem zostanie Nawrocki a PiS wróci do władzy. Przerażające. piped.video/sknz7XCYA0M?si=6KY7…,Niesamowity materiał. PiS i ich wyborcy to kalka Trumpa i Republikanów. To nas czeka jeśli prezydentem zostanie Nawrocki a PiS wróci do władzy. Przerażające. piped.video/sknz7XCYA0M?si=6KY7…,,,,0,0,0,190,25,0.0,niski,11,0.7934631435633801
19.0,lis_tomasz,"Przeliczenia głosów chcą tylko obywatele, a ich głos nie obchodzi ani polityków ani mediów. Bo my jesteśmy mięsem armatnim potrzebnym tylko w dniu wyborów. 1. PiS nie chce z wiadomych względów, bo wyszłaby skala wałków. 2. Obecna władza, bo cala sprawa pokazuje jej absolutne nieprzygotowanie do wyborów, niezdolność do ich zabezpieczenia i totalną impotencję i indolencję służb. Do tego władza chciałaby zamknąć temat tej kampanii i tych wyborów, bo już dość wali trupem po okolicy. Zostajemy my obywatele. My mamy włączać i klikać zidiociałe media, zapomnieć o wszystkim i pojawić się za dwa lata gdy znowu będziemy potrzebni. Rozejść się.",8,60,64,132,10-06-25,2025-06-10,2025.0,6.0,10.0,0.0,"Przeliczenia głosów chcą tylko obywatele, a ich głos nie obchodzi ani polityków ani mediów. Bo my jesteśmy mięsem armatnim potrzebnym tylko w dniu wyborów. 1. PiS nie chce z wiadomych względów, bo wyszłaby skala wałków. 2. Obecna władza, bo cala sprawa pokazuje jej absolutne nieprzygotowanie do wyborów, niezdolność do ich zabezpieczenia i totalną impotencję i indolencję służb. Do tego władza chciałaby zamknąć temat tej kampanii i tych wyborów, bo już dość wali trupem po okolicy. Zostajemy my obywatele. My mamy włączać i klikać zidiociałe media, zapomnieć o wszystkim i pojawić się za dwa lata gdy znowu będziemy potrzebni. Rozejść się.","Przeliczenia głosów chcą tylko obywatele, a ich głos nie obchodzi ani polityków ani mediów. Bo my jesteśmy mięsem armatnim potrzebnym tylko w dniu wyborów. 1. PiS nie chce z wiadomych względów, bo wyszłaby skala wałków. 2. Obecna władza, bo cala sprawa pokazuje jej absolutne nieprzygotowanie do wyborów, niezdolność do ich zabezpieczenia i totalną impotencję i indolencję służb. Do tego władza chciałaby zamknąć temat tej kampanii i tych wyborów, bo już dość wali trupem po okolicy. Zostajemy my obywatele. My mamy włączać i klikać zidiociałe media, zapomnieć o wszystkim i pojawić się za dwa lata gdy znowu będziemy potrzebni. Rozejść się.",,,,0,0,0,641,100,0.94,wysoki,11,0.7132159919557173
