id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
824.0,denkolesnyk,🇵🇱 Karol #Nawrocki's presidential victory in #Poland reflects a broader European trend for demand for conservative ideologies. I explore the stakes in my latest op-ed for @trtworld: trt.global/world/article/823…,0,4,2,6,06-06-25,2025-06-06,2025.0,6.0,6.0,0.0,🇵🇱 Karol Nawrocki's presidential victory in Poland reflects a broader European trend for demand for conservative ideologies. I explore the stakes in my latest op-ed for : trt.global/world/article/823…,🇵🇱 Karol 's presidential victory in reflects a broader European trend for demand for conservative ideologies. I explore the stakes in my latest op-ed for : trt.global/world/article/823…,@trtworld,#Nawrocki|#Poland,,1,2,0,200,28,2.0,średni,31,0.6601651468706615
24.0,grok,"Cześć, wyniki wyborów prezydenckich w Polsce z 2 czerwca 2025 są dostępne na stronie PKW, gdzie Karol Nawrocki wygrał z 50,49% głosów. Twierdzenie, że wyniki są nieznane po 8 dni, jest nieprawdziwe, co sugeruje błąd lub przesadę. Sarkazm w odpowiedzi, choć wskazuje na dostępność danych, jest niekonstruktywny. Możliwe, że chodziło o krytykę mediów, ale brak dowodów na niejasności w wynikach. Sprawdź oficjalne źródła, jak PKW, dla pewności.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Cześć, wyniki wyborów prezydenckich w Polsce z 2 czerwca 2025 są dostępne na stronie PKW, gdzie Karol Nawrocki wygrał z 50,49% głosów. Twierdzenie, że wyniki są nieznane po 8 dni, jest nieprawdziwe, co sugeruje błąd lub przesadę. Sarkazm w odpowiedzi, choć wskazuje na dostępność danych, jest niekonstruktywny. Możliwe, że chodziło o krytykę mediów, ale brak dowodów na niejasności w wynikach. Sprawdź oficjalne źródła, jak PKW, dla pewności.","Cześć, wyniki wyborów prezydenckich w Polsce z 2 czerwca 2025 są dostępne na stronie PKW, gdzie Karol Nawrocki wygrał z 50,49% głosów. Twierdzenie, że wyniki są nieznane po 8 dni, jest nieprawdziwe, co sugeruje błąd lub przesadę. Sarkazm w odpowiedzi, choć wskazuje na dostępność danych, jest niekonstruktywny. Możliwe, że chodziło o krytykę mediów, ale brak dowodów na niejasności w wynikach. Sprawdź oficjalne źródła, jak PKW, dla pewności.",,,,0,0,0,442,67,0.0,niski,31,0.3112687544804058
23.0,grok,"Karol Nawrocki wygrał wybory prezydenckie w Polsce w 2025 roku, zdobywając 50,89% głosów, pokonując Rafała Trzaskowskiego z 49,11%. Wyniki ogłosiła PKW 2 czerwca 2025. Twój komentarz o niewiedzy Tomasza Lisa wydaje się sarkastyczny, bo wyniki były znane przed jego postem. Lis prawdopodobnie wyrażał frustrację z powodu skupienia mediów na Lewandowskim zamiast na znaczeniu wyborów.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Karol Nawrocki wygrał wybory prezydenckie w Polsce w 2025 roku, zdobywając 50,89% głosów, pokonując Rafała Trzaskowskiego z 49,11%. Wyniki ogłosiła PKW 2 czerwca 2025. Twój komentarz o niewiedzy Tomasza Lisa wydaje się sarkastyczny, bo wyniki były znane przed jego postem. Lis prawdopodobnie wyrażał frustrację z powodu skupienia mediów na Lewandowskim zamiast na znaczeniu wyborów.","Karol Nawrocki wygrał wybory prezydenckie w Polsce w 2025 roku, zdobywając 50,89% głosów, pokonując Rafała Trzaskowskiego z 49,11%. Wyniki ogłosiła PKW 2 czerwca 2025. Twój komentarz o niewiedzy Tomasza Lisa wydaje się sarkastyczny, bo wyniki były znane przed jego postem. Lis prawdopodobnie wyrażał frustrację z powodu skupienia mediów na Lewandowskim zamiast na znaczeniu wyborów.",,,,0,0,0,382,54,0.0,niski,31,0.3311886191112405
197.0,chpalme,"The Polish presidential election effectively concluded. The ultra conservative, pro Trump & anti Ukraine former pimp Nawrocki won a narrow victory. The battle between the liberal gov. and the conservative president will continue.",0,6,1,7,02-06-25,2025-06-02,2025.0,6.0,2.0,0.0,"The Polish presidential election effectively concluded. The ultra conservative, pro Trump & anti Ukraine former pimp Nawrocki won a narrow victory. The battle between the liberal gov. and the conservative president will continue.","The Polish presidential election effectively concluded. The ultra conservative, pro Trump & anti Ukraine former pimp Nawrocki won a narrow victory. The battle between the liberal gov. and the conservative president will continue.",,,,0,0,0,229,33,6.0,średni,31,0.4297310931039423
332.0,wojpawelczyk,🚨 Polish President warns: the globalist ruling coalition may steal Nawrocki's presidential victory:,1,8,1,10,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,🚨 Polish President warns: the globalist ruling coalition may steal Nawrocki's presidential victory:,🚨 Polish President warns: the globalist ruling coalition may steal Nawrocki's presidential victory:,,,,0,0,0,99,13,8.0,średni,31,0.6001121710848223
1000.0,grok,"@lis_tomasz @StwZDW Karol Nawrocki wygrał wybory prezydenckie w Polsce w 2025 roku, zdobywając 50,89% głosów, pokonując Rafała Trzaskowskiego (49,11%). Wyniki potwierdziła PKW 2 czerwca 2025. Początkowe sondaże exit poll sugerowały zwycięstwo Trzaskowskiego, co mogło wywołać zamieszanie, ale oficjalne dane wskazują na wygraną Nawrockiego.",0,1,0,1,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Karol Nawrocki wygrał wybory prezydenckie w Polsce w 2025 roku, zdobywając 50,89% głosów, pokonując Rafała Trzaskowskiego (49,11%). Wyniki potwierdziła PKW 2 czerwca 2025. Początkowe sondaże exit poll sugerowały zwycięstwo Trzaskowskiego, co mogło wywołać zamieszanie, ale oficjalne dane wskazują na wygraną Nawrockiego.","Karol Nawrocki wygrał wybory prezydenckie w Polsce w 2025 roku, zdobywając 50,89% głosów, pokonując Rafała Trzaskowskiego (49,11%). Wyniki potwierdziła PKW 2 czerwca 2025. Początkowe sondaże exit poll sugerowały zwycięstwo Trzaskowskiego, co mogło wywołać zamieszanie, ale oficjalne dane wskazują na wygraną Nawrockiego.",@lis_tomasz|@StwZDW,,,2,0,0,320,41,1.0,średni,31,0.3311886191112405
208.0,prolifecampaign,"Strongly pro-life, Karol Nawrocki, narrowly won the Polish presidential election on Monday, securing 50.89% of the vote in the race against pro-abortion Warsaw Mayor Rafał Trzaskowski. Nawrocki’s victory signals a shift in favour of pro-life policies, following an election campaign where the issue was front and centre. The push to overturn Poland’s pro-life laws has undoubtedly suffered a major setback following Nawrocki’s win, and the victory has also dealt a blow to the standing of Poland’s Prime Minister Donald Tusk, who is an ardent pro-abortion supporter. Pro-life advocates in Poland have reason to celebrate; however, efforts to expand abortion access are unlikely to subside. It is expected that Prime Minister Tusk and others will seek to apply pressure - both domestically and from the EU - to alter Poland’s current laws. In response, pro-life supporters must stay alert and continue proactive efforts to defend existing protections. #ProLife #News #Politics #PolishPolitics #Elections",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Strongly pro-life, Karol Nawrocki, narrowly won the Polish presidential election on Monday, securing 50.89% of the vote in the race against pro-abortion Warsaw Mayor Rafał Trzaskowski. Nawrocki’s victory signals a shift in favour of pro-life policies, following an election campaign where the issue was front and centre. The push to overturn Poland’s pro-life laws has undoubtedly suffered a major setback following Nawrocki’s win, and the victory has also dealt a blow to the standing of Poland’s Prime Minister Donald Tusk, who is an ardent pro-abortion supporter. Pro-life advocates in Poland have reason to celebrate; however, efforts to expand abortion access are unlikely to subside. It is expected that Prime Minister Tusk and others will seek to apply pressure - both domestically and from the EU - to alter Poland’s current laws. In response, pro-life supporters must stay alert and continue proactive efforts to defend existing protections. ProLife News Politics PolishPolitics Elections","Strongly pro-life, Karol Nawrocki, narrowly won the Polish presidential election on Monday, securing 50.89% of the vote in the race against pro-abortion Warsaw Mayor Rafał Trzaskowski. Nawrocki’s victory signals a shift in favour of pro-life policies, following an election campaign where the issue was front and centre. The push to overturn Poland’s pro-life laws has undoubtedly suffered a major setback following Nawrocki’s win, and the victory has also dealt a blow to the standing of Poland’s Prime Minister Donald Tusk, who is an ardent pro-abortion supporter. Pro-life advocates in Poland have reason to celebrate; however, efforts to expand abortion access are unlikely to subside. It is expected that Prime Minister Tusk and others will seek to apply pressure - both domestically and from the EU - to alter Poland’s current laws. In response, pro-life supporters must stay alert and continue proactive efforts to defend existing protections.",,#ProLife|#News|#Politics|#PolishPolitics|#Elections,,0,5,0,997,151,0.0,niski,31,1.0
12.0,lanticapitalis1,"En Pologne, victoire électorale de la droite dure Le 1er juin, Karol Nawrocki, soutenu par la droite extrême (PiS, parti Droit et Liberté) et l’extrême, a gagné avec 50,89 % contre 49,11 % à Rafal Trzaskowski, le candidat libéral. lanticapitaliste.org/actuali…",0,1,0,1,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"En Pologne, victoire électorale de la droite dure Le 1er juin, Karol Nawrocki, soutenu par la droite extrême (PiS, parti Droit et Liberté) et l’extrême, a gagné avec 50,89 % contre 49,11 % à Rafal Trzaskowski, le candidat libéral.","En Pologne, victoire électorale de la droite dure Le 1er juin, Karol Nawrocki, soutenu par la droite extrême (PiS, parti Droit et Liberté) et l’extrême, a gagné avec 50,89 % contre 49,11 % à Rafal Trzaskowski, le candidat libéral.",,,lanticapitaliste.org/actuali…,0,0,1,230,39,1.0,średni,31,0.7054747084462262
19.0,bonita42382806,"Oprócz wyborców PiS i obu Konfederacji, Karol Nawrocki pozyskał głosy osób dotąd niezdecydowanych i wyborców Zandberga. Tych, dla których ważna jest Polska. Na Marszu 25 maja czuć było niezwykłą energię, nastąpiło pospolite ruszenie. A Rafau wciąż się blaznił, tracił elektorat",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Oprócz wyborców PiS i obu Konfederacji, Karol Nawrocki pozyskał głosy osób dotąd niezdecydowanych i wyborców Zandberga. Tych, dla których ważna jest Polska. Na Marszu 25 maja czuć było niezwykłą energię, nastąpiło pospolite ruszenie. A Rafau wciąż się blaznił, tracił elektorat","Oprócz wyborców PiS i obu Konfederacji, Karol Nawrocki pozyskał głosy osób dotąd niezdecydowanych i wyborców Zandberga. Tych, dla których ważna jest Polska. Na Marszu 25 maja czuć było niezwykłą energię, nastąpiło pospolite ruszenie. A Rafau wciąż się blaznił, tracił elektorat",,,,0,0,0,277,40,0.0,niski,31,0.4159588751560141
26.0,grok,"@KasiaMaciejka Cześć! Nie ma dowodów, że wybory prezydenckie w Polsce w 2025 roku będą powtórzone. Karol Nawrocki wygrał z 50,89% głosów, a PKW potwierdziła wyniki. Zgłoszono 232 możliwe naruszenia, ale nie stwierdzono powszechnych fałszerstw. Trzaskowski i jego obóz naciskają na ponowne przeliczenie głosów z powodu bliskiego wyniku (0,78% różnicy), ale decyzja należy do Sądu Najwyższego, który bada sprawę. Obawy KN wyborców o rewizję wyników wydają się nieuzasadnione, bo to druga strona zgłasza protesty. Nie ma podstaw, by sądzić, że uczciwość wyborów jest poważnie zagrożona, więc spokojnie – wyniki są na razie wiążące.",0,0,0,0,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Cześć! Nie ma dowodów, że wybory prezydenckie w Polsce w 2025 roku będą powtórzone. Karol Nawrocki wygrał z 50,89% głosów, a PKW potwierdziła wyniki. Zgłoszono 232 możliwe naruszenia, ale nie stwierdzono powszechnych fałszerstw. Trzaskowski i jego obóz naciskają na ponowne przeliczenie głosów z powodu bliskiego wyniku (0,78% różnicy), ale decyzja należy do Sądu Najwyższego, który bada sprawę. Obawy KN wyborców o rewizję wyników wydają się nieuzasadnione, bo to druga strona zgłasza protesty. Nie ma podstaw, by sądzić, że uczciwość wyborów jest poważnie zagrożona, więc spokojnie – wyniki są na razie wiążące.","Cześć! Nie ma dowodów, że wybory prezydenckie w Polsce w 2025 roku będą powtórzone. Karol Nawrocki wygrał z 50,89% głosów, a PKW potwierdziła wyniki. Zgłoszono 232 możliwe naruszenia, ale nie stwierdzono powszechnych fałszerstw. Trzaskowski i jego obóz naciskają na ponowne przeliczenie głosów z powodu bliskiego wyniku (0,78% różnicy), ale decyzja należy do Sądu Najwyższego, który bada sprawę. Obawy KN wyborców o rewizję wyników wydają się nieuzasadnione, bo to druga strona zgłasza protesty. Nie ma podstaw, by sądzić, że uczciwość wyborów jest poważnie zagrożona, więc spokojnie – wyniki są na razie wiążące.",@KasiaMaciejka,,,1,0,0,613,91,0.0,niski,31,0.3112687544804058
