id,username,text,likes,retweets,replies,total_interactions,post_date_iso,date,year,month,day,hour,text_clean,text_no_links,mentions,hashtags,urls,n_mentions,n_hashtags,n_urls,char_count,word_count,amplification_ratio,reach_tier,cluster,cluster_prob
8.0,pekalskadorota,"Pan @trzaskowski_ zrobił przebudowę skrzyżowania Rakowiecka x Puławska x Goworka, puścił tu tramwaj i zrobił kilometrowy korek. Słyszę z tyłu sygnał karetki pogotowia i ogarnia mnie złość. Niemal trzyletni koszmar rozkopanych ulic na 7km odcinku zbiera ofiary. @sjkaleta",0,1,0,1,09-06-25,2025-06-09,2025.0,6.0,9.0,0.0,"Pan zrobił przebudowę skrzyżowania Rakowiecka x Puławska x Goworka, puścił tu tramwaj i zrobił kilometrowy korek. Słyszę z tyłu sygnał karetki pogotowia i ogarnia mnie złość. Niemal trzyletni koszmar rozkopanych ulic na 7km odcinku zbiera ofiary.","Pan zrobił przebudowę skrzyżowania Rakowiecka x Puławska x Goworka, puścił tu tramwaj i zrobił kilometrowy korek. Słyszę z tyłu sygnał karetki pogotowia i ogarnia mnie złość. Niemal trzyletni koszmar rozkopanych ulic na 7km odcinku zbiera ofiary.",@trzaskowski_|@sjkaleta,,,2,0,0,246,36,1.0,średni,40,0.4946130497354463
10.0,_zboral,"Ludzie z dużych miast, zamożni, chcą jechać na narty. Ci ze wsi, starsi, którzy nie dojadą do lekarza czy sklepu bez autobusu - muszą nadal rowerem albo do 99 lat prowadzić auto",1,40,58,99,11-06-25,2025-06-11,2025.0,6.0,11.0,0.0,"Ludzie z dużych miast, zamożni, chcą jechać na narty. Ci ze wsi, starsi, którzy nie dojadą do lekarza czy sklepu bez autobusu - muszą nadal rowerem albo do 99 lat prowadzić auto","Ludzie z dużych miast, zamożni, chcą jechać na narty. Ci ze wsi, starsi, którzy nie dojadą do lekarza czy sklepu bez autobusu - muszą nadal rowerem albo do 99 lat prowadzić auto",,,,0,0,0,177,32,0.69,wysoki,40,1.0
29.0,czcigodnapolka,"Mieszkanie komunalne to nie łup. To wsparcie dla najsłabszych. Jeśli Nawrocki wyłudza mieszkanie komunalne, mimo że go realnie nie potrzebuje - to łamie prawo i okrada: samotne matki, seniorów, rodziny w kryzysie. To zero miłości do wspólnoty, do Polski. #NawrockiNieKochaPolski",0,31,1,32,12-06-25,2025-06-12,2025.0,6.0,12.0,0.0,"Mieszkanie komunalne to nie łup. To wsparcie dla najsłabszych. Jeśli Nawrocki wyłudza mieszkanie komunalne, mimo że go realnie nie potrzebuje - to łamie prawo i okrada: samotne matki, seniorów, rodziny w kryzysie. To zero miłości do wspólnoty, do Polski. NawrockiNieKochaPolski","Mieszkanie komunalne to nie łup. To wsparcie dla najsłabszych. Jeśli Nawrocki wyłudza mieszkanie komunalne, mimo że go realnie nie potrzebuje - to łamie prawo i okrada: samotne matki, seniorów, rodziny w kryzysie. To zero miłości do wspólnoty, do Polski.",,#NawrockiNieKochaPolski,,0,1,0,277,40,31.0,średni,40,0.8737569227359095
131.0,majkel_majkel90,"Uspokoić to Ty sobie możesz wodę w kiblu , jesteście współdzialni za ten burdel który zafunduje Nawrocki i PiS Polsce, Razem Won !",0,0,0,0,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,"Uspokoić to Ty sobie możesz wodę w kiblu , jesteście współdzialni za ten burdel który zafunduje Nawrocki i PiS Polsce, Razem Won !","Uspokoić to Ty sobie możesz wodę w kiblu , jesteście współdzialni za ten burdel który zafunduje Nawrocki i PiS Polsce, Razem Won !",,,,0,0,0,130,23,0.0,niski,40,0.5574853313823475
414.0,czekacz,"Przejście w Rosówku. Na granicę podjechał srebrny bus na niemieckich numerach, z którego wysiadło kilku kolorowych. Po rewizji i przeszukaniu przepakowano ich do tego busa. To się naprawdę dzieje.",64,1592,175,1831,20-06-25,2025-06-20,2025.0,6.0,20.0,0.0,"Przejście w Rosówku. Na granicę podjechał srebrny bus na niemieckich numerach, z którego wysiadło kilku kolorowych. Po rewizji i przeszukaniu przepakowano ich do tego busa. To się naprawdę dzieje.","Przejście w Rosówku. Na granicę podjechał srebrny bus na niemieckich numerach, z którego wysiadło kilku kolorowych. Po rewizji i przeszukaniu przepakowano ich do tego busa. To się naprawdę dzieje.",,,,0,0,0,196,29,9.1,wysoki,40,1.0
10.0,alojjola,"Piękny tunel wybudował PiS pod Świną, dzięki czemu mieszkańcy nie muszą stać w wielogodzinnych korkach",1,113,41,155,24-06-25,2025-06-24,2025.0,6.0,24.0,0.0,"Piękny tunel wybudował PiS pod Świną, dzięki czemu mieszkańcy nie muszą stać w wielogodzinnych korkach","Piękny tunel wybudował PiS pod Świną, dzięki czemu mieszkańcy nie muszą stać w wielogodzinnych korkach",,,,0,0,0,102,15,2.76,wysoki,40,1.0
18.0,kasienka_z_mars,"Beton jest beton…niepodrabialny…mam nadzieję, że Pan Karol Nawrocki sprosta wyzwaniu i utemperuje takie pierdolenie…",0,0,1,1,29-06-25,2025-06-29,2025.0,6.0,29.0,0.0,"Beton jest beton…niepodrabialny…mam nadzieję, że Pan Karol Nawrocki sprosta wyzwaniu i utemperuje takie pierdolenie…","Beton jest beton…niepodrabialny…mam nadzieję, że Pan Karol Nawrocki sprosta wyzwaniu i utemperuje takie pierdolenie…",,,,0,0,0,116,14,0.0,średni,40,0.5166416138965294
19.0,ptaszekaugustyn,"Od tego zacznie,no to będzie się działo,wojna gotowa. Bo to co było w projekcie pierwotnym ,to iluzja i propizycję nie do zrealizowania. Nowy przebieg linii kolejowych ,przez wsie ,osiedla,miasta,drogi szybkiego ruchu,pola orne,to debilstwo i brak wyobrażni. Nawrocki bez pojęcia.",0,0,0,0,29-07-25,2025-07-29,2025.0,7.0,29.0,0.0,"Od tego zacznie,no to będzie się działo,wojna gotowa. Bo to co było w projekcie pierwotnym ,to iluzja i propizycję nie do zrealizowania. Nowy przebieg linii kolejowych ,przez wsie ,osiedla,miasta,drogi szybkiego ruchu,pola orne,to debilstwo i brak wyobrażni. Nawrocki bez pojęcia.","Od tego zacznie,no to będzie się działo,wojna gotowa. Bo to co było w projekcie pierwotnym ,to iluzja i propizycję nie do zrealizowania. Nowy przebieg linii kolejowych ,przez wsie ,osiedla,miasta,drogi szybkiego ruchu,pola orne,to debilstwo i brak wyobrażni. Nawrocki bez pojęcia.",,,,0,0,0,280,39,0.0,niski,40,0.916794379945511
27.0,micha_mozdzen,Also: Glapa obniż stopy Źródło rewelacji: m.300polityka.pl/news/2025/0…,1,0,0,1,31-07-25,2025-07-31,2025.0,7.0,31.0,0.0,Also: Glapa obniż stopy Źródło rewelacji: m.,Also: Glapa obniż stopy Źródło rewelacji: m.,,,300polityka.pl/news/2025/0…,0,0,1,44,7,0.0,średni,40,0.5035174785646158
818.0,boskismak,"A co? Przez prawie dwa lata rządów rudego kundla, nie mogłaś spakować swojej jedynej walizki. Tam w Holandii, zaraz cię w metro lub parku docenią za infantylizm.",0,0,0,0,"Jun 4, 2025 · 8:11 AM UTC",,,,,,"A co? Przez prawie dwa lata rządów rudego kundla, nie mogłaś spakować swojej jedynej walizki. Tam w Holandii, zaraz cię w metro lub parku docenią za infantylizm.","A co? Przez prawie dwa lata rządów rudego kundla, nie mogłaś spakować swojej jedynej walizki. Tam w Holandii, zaraz cię w metro lub parku docenią za infantylizm.",,,,0,0,0,161,27,0.0,niski,40,0.9084190863566136
